year	importer_ISO	exporter_ISO	SITC0_1	SITC0_2	SITC0_3	SITC0_4	SITC0_5	SITC0_6	SITC0_7	SITC0_8	SITC0_9	SITC0_10	SITC0_11	SITC0_12	SITC0_13	SITC0_14	SITC0_15	SITC0_16	SITC0_17	SITC0_18	SITC0_19	SITC0_20	SITC0_21	SITC0_22	SITC0_23	SITC0_24	SITC0_25	SITC0_26	SITC0_27	SITC0_28	SITC0_29	SITC0_30	SITC0_31	SITC0_32	SITC0_33	SITC0_34	SITC0_35	SITC0_36	SITC0_37	SITC0_38	SITC0_39	SITC0_40
7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856.547124421364	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
7	1	3	372509.629366735	0	0	0	0	0	0	71628.8774677007	60983.6763304878	356987.355342661	0	0	0	0	0	0	0	0	0	69998.9762608999	11641.5590352027	0	0	0	0	0	230026.401672275	439656.300762276	443444.48318243	0	608814.447922494	0	0	0	316508.833334459	639997.135911426	19352.7471960517	239948.112738722	0	0
7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861.804544023461	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	891.566325840303	0	0	0
7	1	5	372433.485862687	0	0	0	0	536552.675865727	133338.044921573	0	0	357082.042403148	404849.290641684	481096.674157395	0	312194.251811284	0	0	0	0	0	0	0	644408.038880441	0	424244.090637301	0	0	229849.877837687	439586.186761529	0	0	0	449463.593209421	287359.648401855	644811.006092571	0	640025.785017497	0	0	179976.738267561	0
7	1	6	372412.762188429	0	0	0	0	536419.56556225	0	71654.940089899	0	357116.985729392	0	0	0	0	379304.48316381	0	0	0	0	70169.4400626138	0	0	522809.903227465	0	264889.518959628	239740.151565207	0	439668.994502431	0	686211.840702079	608680.305187025	0	287173.22140616	0	0	0	0	239911.117161941	0	0
7	1	7	0	0	0	0	0	453.905990931294	0	0	263.51929215135	0	0	0	0	0	0	0	0	0	0	796.28942836097	0	0	791.839948881628	0	0	0	666.191686399885	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	8	0	662229.429997333	0	0	0	536579.577243293	0	0	0	356903.342102603	404743.93287772	0	0	312299.299390507	379281.739160976	0	0	121435.986637991	28413.6348885365	0	0	0	0	0	0	239515.622866387	229926.653219145	0	0	0	0	0	0	644691.499102878	0	640152.257369056	0	0	179864.084104806	0
7	1	9	0	0	633360.733689759	664363.357492514	0	0	0	71752.2697818159	0	356918.51886293	0	0	0	0	0	398094.697015593	651285.453180679	0	0	0	11762.4057571903	644254.670993808	0	424128.195733611	0	239632.363811814	229999.335333866	0	0	0	608748.314272463	0	0	644806.633720195	0	0	0	0	179920.885275217	0
7	1	10	372625.186506999	0	633399.662471517	0	0	536567.163314637	0	71670.0630119003	0	0	0	481124.992974171	0	0	0	0	651235.897742811	121468.306495323	0	0	0	0	0	0	264752.58999721	239619.710301884	229822.04594074	0	0	0	608661.984256302	0	287050.428941603	0	316475.035862978	0	19261.7231338884	239945.121219477	0	0
7	2	1	0	221.729108444677	0	0	0	0	0	694.67179276824	174.406194593715	0	513.347575819471	0	0	0	0	0	0	679.253723946484	0	815.26071629344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.430453641169
7	2	3	0	0	0	0	0	0	718.803113043081	0	0	0	647.209698282358	0	0	0	0	0	0	0	1178.53083149589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.028064518345	492.238840132143	0	920.416002790011	0	0	0
7	2	4	0	0	0	664217.579437708	0	0	0	0	0	356910.158012775	0	481190.425256322	0	0	379290.85210498	0	651315.138457405	0	28285.7203360208	0	11637.2363559426	0	0	424115.166494295	264822.411561195	0	0	0	443465.72226599	0	0	0	0	0	0	0	0	0	0	0
