IMPID	EXPID	0	1	2	
1	2	1	2.32542e-12	0	
1	3	4.13422e-1978	1	0	
1	4	1	6.21423e-13	0	
1	5	9.97356e-205	1	0	
1	6	5.1566e-2674	1.21159e-320	1	
1	7	1	4.45582e-14	0	
1	8	4.92093e-44	1	0	
1	9	7.23255e-515	1	0	
1	10	1.69612e-1507	1	0	
2	3	1	1.86832e-12	0	
2	4	1.15043e-899	1	0	
2	5	0	4.4673e-328	1	
2	6	1	3.21971e-14	0	
2	7	1	1.55057e-13	0	
2	8	7.24587e-77	1	0	
2	9	0	1.73554e-319	1	
2	10	1	4.51421e-10	0	
3	4	1	1.98457e-13	0	
3	5	1.27161e-11	1	0	
3	6	1.40615e-1935	1	0	
3	7	1.03139e-84	1	0	
3	8	1	4.8605e-15	0	
3	9	0	5.03818e-318	1	
3	10	0	2.48715e-328	1	
4	5	1	6.15252e-10	0	
4	6	0	1.4028e-308	1	
4	7	4.23398e-34	1	0	
4	8	1	2.72892e-10	0	
4	9	0	1.59559e-324	1	
4	10	8.82408e-1653	1	0	
5	6	8.61331e-887	1	0	
5	7	4.78666e-28	1	0	
5	8	1	1.83202e-11	0	
5	9	1	3.2161e-15	0	
5	10	1	5.27293e-12	0	
6	7	7.81973e-1359	1	0	
6	8	1	2.23508e-15	0	
6	9	0	3.96482e-346	1	
6	10	7.43185e-246	1	0	
7	8	0	1	0	
7	9	5.02138e-37	1	0	
7	10	3.21451e-21	1	0	
8	9	0.999999	1.27139e-06	0	
8	10	3.76339e-685	1	0	
9	10	1	1.89125e-11	0	
