IMPID	EXPID	0	1	2	
1	2	1	2.98828e-09	0	
1	3	3.6732e-29	1	0	
1	4	1	3.67669e-13	0	
1	5	6.71802e-56	1	0	
1	6	0	1.99841e-335	1	
1	7	9.9267e-2222	1	0	
1	8	4.33662e-1629	1	0	
1	9	9.98872e-571	1	0	
1	10	1.02032e-57	1	0	
2	3	5.76159e-2680	1.68911e-309	1	
2	4	1	8.31157e-13	0	
2	5	0	1.20135e-332	1	
2	6	1	1.36403e-07	0	
2	7	1	4.20559e-11	0	
2	8	0	1	0	
2	9	0	6.83655e-292	1	
2	10	0	5.42555e-311	1	
3	4	0	3.73499e-326	1	
3	5	2.47032e-793	1	0	
3	6	0	4.88028e-319	1	
3	7	1	5.77089e-11	0	
3	8	1	1.34517e-10	0	
3	9	0	1.46181e-333	1	
3	10	0	3.61514e-323	1	
4	5	1	2.56667e-09	0	
4	6	0	1.84655e-340	1	
4	7	0	1	0	
4	8	1	9.70363e-17	0	
4	9	1	1.44623e-11	0	
4	10	2.79392e-568	1	0	
5	6	8.83368e-193	1	0	
5	7	0	1	0	
5	8	1	1.88435e-12	0	
5	9	1	6.31923e-08	0	
5	10	1	4.6985e-14	0	
6	7	6.70449e-1034	1	0	
6	8	1	4.05699e-12	0	
6	9	0	6.41792e-323	1	
6	10	0	1.10203e-279	1	
7	8	3.7875e-222	1	0	
7	9	1.84017e-243	1	0	
7	10	3.75916e-1182	1	0	
8	9	1	1.48244e-09	0	
8	10	3.53454e-1562	1	0	
9	10	1	1.27502e-11	0	
