IMPID	EXPID	0	1	2	
1	2	1	1.01534e-12	0	
1	3	4.33816e-2006	1	0	
1	4	9.54738e-1142	1	0	
1	5	1.9421e-1250	1	0	
1	6	0	2.41714e-323	1	
1	7	1	4.52957e-09	0	
1	8	1	1.72106e-14	0	
1	9	4.18316e-39	1	0	
1	10	0	1	0	
2	3	1	1.51858e-13	0	
2	4	2.19921e-887	1	0	
2	5	4.22227e-34	1	0	
2	6	1	1.85897e-12	0	
2	7	0	8.9718e-327	1	
2	8	2.00532e-440	1	0	
2	9	0	3.02994e-324	1	
2	10	1	9.16281e-14	0	
3	4	1	1.70511e-14	0	
3	5	1	7.28534e-11	0	
3	6	0	2.39911e-334	1	
3	7	0	1.63357e-333	1	
3	8	4.55209e-645	1	0	
3	9	0	2.37826e-315	1	
3	10	1	3.11208e-12	0	
4	5	1	1.61293e-14	0	
4	6	2.44015e-34	1	0	
4	7	6.90349e-1321	1	0	
4	8	9.91034e-1718	1	0	
4	9	0	1.59771e-339	1	
4	10	1.05032e-732	1	0	
5	6	5.13377e-233	1	0	
5	7	1	1.2907e-12	0	
5	8	1	2.91341e-12	0	
5	9	0	5.32529e-319	1	
5	10	0	1	0	
6	7	0	1	0	
6	8	1	1.49789e-16	0	
6	9	0	8.52007e-334	1	
6	10	0	1	0	
7	8	1	1.65103e-11	0	
7	9	2.52242e-786	1	0	
7	10	2.61586e-1054	1	0	
8	9	1	1.47345e-16	0	
8	10	4.24464e-1052	1	0	
9	10	1	2.25102e-13	0	
