IMPID	EXPID	0	1	2	
1	2	1	6.62236e-16	0	
1	3	2.09282e-09	1	0	
1	4	1	3.05338e-11	0	
1	5	0	1	0	
1	6	1.02034e-1315	1	0	
1	7	1	8.60452e-15	0	
1	8	0	3.92425e-319	1	
1	9	2.79578e-650	1	0	
1	10	1.2118e-1029	1	0	
2	3	1	8.7644e-15	0	
2	4	8.63154e-508	1	0	
2	5	1	2.24643e-11	0	
2	6	1	3.94728e-10	0	
2	7	1.11156e-386	1	0	
2	8	2.31783e-31	1	0	
2	9	0	1.47235e-339	1	
2	10	1	4.9634e-12	0	
3	4	1	4.82122e-12	0	
3	5	0	1	0	
3	6	0	3.39494e-332	1	
3	7	3.53669e-253	1	0	
3	8	8.34359e-1389	1	0	
3	9	0	4.67459e-318	1	
3	10	0	1	0	
4	5	1	3.64839e-12	0	
4	6	4.30718e-32	1	0	
4	7	1	1.72939e-13	0	
4	8	0	1.15728e-304	1	
4	9	0	1.36465e-334	1	
4	10	1.13744e-1174	1	0	
5	6	2.08426e-34	1	0	
5	7	2.38595e-624	1	0	
5	8	4.64692e-06	0.999995	0	
5	9	1	6.2338e-11	0	
5	10	1	7.25575e-11	0	
6	7	4.96031e-1052	1	0	
6	8	1	3.5497e-13	0	
6	9	0	2.12747e-340	1	
6	10	4.77028e-1337	1	0	
7	8	0	9.34152e-323	1	
7	9	1	4.34333e-13	0	
7	10	1	8.54576e-10	0	
8	9	1.33813e-36	1	0	
8	10	2.0878e-1934	1	0	
9	10	1	5.64907e-10	0	
