IMPID	EXPID	0	1	2	
1	2	1	7.8132e-09	0	
1	3	1.92625e-2206	1	0	
1	4	1.77751e-36	1	0	
1	5	1.19733e-18	1	0	
1	6	0	1.04702e-331	1	
1	7	1.85028e-597	1	0	
1	8	1	6.29407e-14	0	
1	9	0.999997	3.32622e-06	0	
1	10	0	1	0	
2	3	1.35782e-242	1	0	
2	4	0	1.73111e-312	1	
2	5	5.37821e-1726	1	0	
2	6	1	1.65111e-12	0	
2	7	0	8.13888e-310	1	
2	8	1	3.47174e-11	0	
2	9	0	1.6728e-322	1	
2	10	1	1.40255e-13	0	
3	4	1	2.0262e-12	0	
3	5	1	4.28889e-11	0	
3	6	1	5.65627e-12	0	
3	7	1	5.1396e-12	0	
3	8	1	3.85192e-11	0	
3	9	1	3.44434e-11	0	
3	10	1	5.1176e-10	0	
4	5	1	4.81794e-12	0	
4	6	0	7.98798e-316	1	
4	7	6.2965e-1260	1	0	
4	8	0	1.08934e-332	1	
4	9	0	2.30275e-317	1	
4	10	1	1.39702e-09	0	
5	6	4.02432e-189	1	0	
5	7	1	1.36056e-12	0	
5	8	1	2.47702e-12	0	
5	9	0	1	0	
5	10	1	1.46631e-12	0	
6	7	0	1	0	
6	8	1	4.76707e-13	0	
6	9	1	2.52133e-12	0	
6	10	0	1.36079e-323	1	
7	8	0	1.06675e-318	1	
7	9	5.39011e-1169	1	0	
7	10	1.72364e-1121	1	0	
8	9	1	2.06384e-12	0	
8	10	6.12412e-36	1	0	
9	10	1	6.2426e-13	0	
