imp	exp	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"
2	1	0	0	0	0	0	0	0	0.27065	0	0	0	0	0	0	0.0821346	0	0	0	0	0	0	0	0.277934	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0894715	0	0	0	0	0	0	0	0	0.910528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	0	0	0.624621	0	0	0	0	0	0	0.152131	0	0	0.223248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227697	0	0	0	0	0	0
7	1	0	0	0	0	0	0	0.270185	0	0	0	0	0	0	0	0	0	0	0.331467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273886	0	0.124462	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	0	0	0	0	0.27951	0	0	0.362023	0	0	0	0	0	0.246731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319633	0	0.29927	0	0	0	0	0	0	0	0	0	0.381096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	0	0	0	0	0	0.403871	0	0	0	0	0	0	0	0	0.161102	0	0	0	0	0	0	0	0	0	0.181162	0	0	0	0	0	0	0	0	0.101586	0	0.152279	0	0	0	0	0	0	0	0	0	0.139071	0	0	0	0	0	0	0	0	0	0.224147	0	0	0	0.265852	0	0	0	0.37093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	0	0	0	0	0	0.203434	0	0	0	0	0	0	0	0.0731133	0.215497	0	0	0	0	0	0	0	0.308724	0	0	0.169114	0	0	0	0	0	0	0.0301181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259858	0	0	0	0.330911	0	0	0	0	0	0	0	0	0	0.111585	0.0484525	0	0	0	0	0	0.249193	0	0	0	0	0
10	2	0	0	0	0	0	0	0	0.393655	0.138133	0	0	0	0	0	0	0.259668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532726	0	0.155271	0	0	0	0	0	0	0	0	0	0	0.185275	0.267927	0	0	0	0	0	0	0.128266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418532	0
3	4	0	0.107134	0	0	0.299956	0	0	0	0	0	0.223647	0	0	0	0.0682907	0	0	0.170529	0	0	0	0	0	0	0	0	0	0.0519665	0	0	0	0	0	0	0	0.0784769	0	0	0	0	0	0	0	0	0.509074	0	0	0	0.257644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233282	0	0	0	0	0
5	4	0	0	0	0	0.191972	0	0	0.205958	0.0442019	0	0	0	0	0	0	0	0	0	0.221713	0	0	0	0	0	0.0762228	0	0	0.0367776	0	0	0	0	0	0	0	0	0.223154	0	0	0	0	0	0	0	0	0.176325	0	0.332609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301766	0	0	0	0	0	0	0	0	0	0.189301	0	0	0	0
7	4	0	0	0	0	0.36279	0.0951534	0	0.309484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469298	0	0	0	0.530702	0	0
