imp	exp	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"
2	1	0	0	0	0	0	0.124544	0	0	0	0	0	0	0	0	0.110292	0	0	0	0	0.238474	0	0	0.307139	0	0.0725767	0	0	0	0	0	0	0	0	0	0.104602	0	0	0.0423712	0	0	0	0	0	0	0.566223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433777	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	0.0892436	0	0	0	0.155573	0	0.154491	0	0	0	0.128317	0	0	0	0	0	0	0	0	0.167631	0	0	0	0.157503	0	0	0	0	0	0	0	0	0.0715731	0	0.075668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81979	0	0.18021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	0	0	0	0	0	0	0.37042	0.0916606	0	0.290928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21169	0	0	0	0	0	0	0	0	0	0.78831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	0	0	0	0	0.51583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767391	0	0.232609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	0	0	0	0	0.0731295	0	0	0	0	0.16645	0	0.159577	0	0	0	0	0	0.186811	0	0	0	0.187478	0	0	0	0	0	0	0	0	0	0.104819	0.0216164	0.100119	0	0	0	0	0	0	0	0	0	0	0.126678	0	0.403388	0	0	0	0	0	0	0	0	0	0.266661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203273	0	0	0	0	0	0	0
10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212128	0	0	0	0	0	0.116824	0	0	0.110456	0	0	0	0	0	0	0	0	0	0.230642	0	0	0	0	0	0	0	0	0	0	0.259321	0	0	0.0706289
4	3	0.0917829	0	0	0	0.149319	0	0.106034	0	0	0	0	0	0.11058	0	0	0	0	0	0.151557	0	0	0	0.136617	0.14201	0	0	0	0.0265896	0	0	0	0	0	0	0.0855106	0	0	0	0	0	0	0	0	0	0	0.0341495	0	0	0	0	0	0	0.149628	0	0	0	0	0	0	0.198977	0	0	0.239038	0	0	0	0	0	0	0	0	0	0	0	0	0.0463713	0	0.0772005	0.254635	0
5	4	0	0	0	0	0.366167	0	0	0	0	0	0	0.123647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105531	0	0	0	0	0	0	0.404655	0	0	0	0	0	0.38938	0	0	0	0	0	0.257584	0	0.283783	0	0.0692534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	7	0.15261	0	0	0	0	0	0	0.185526	0	0	0.208044	0	0	0	0	0	0	0.19506	0	0	0	0	0	0.25876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198045	0	0	0	0	0	0	0	0	0	0	0	0.253242	0	0.106727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441986	0	0	0
8	5	0	0	0	0	0	0.0985219	0	0	0	0	0	0	0	0	0.0349209	0.125664	0	0.175544	0	0.174275	0	0	0	0	0	0.137373	0	0	0	0	0	0	0	0	0	0	0.253701	0	0	0	0	0	0	0	0	0.182267	0	0.243885	0	0	0	0	0	0	0.120097	0	0	0	0	0	0	0	0	0	0.113336	0	0	0	0	0	0	0	0	0	0	0	0.340416	0	0	0
8	6	0.143083	0	0	0	0.223318	0	0	0	0	0	0.145222	0	0	0	0	0	0	0.110334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225847	0.0830241	0	0.189176	0.0832586	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	8	0	0	0	0	0.261874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248324	0	0	0	0	0	0	0	0	0	0	0.0241751	0.127042	0.0724058	0	0	0.266179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.445109	0	0	0	0	0	0	0.390523	0	0	0	0	0	0	0.164368	0	0
7	9	0.176694	0	0	0	0.289361	0.0871525	0.170422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557091	0	0	0.442909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10	0	0.111499	0	0	0	0.0882484	0.140314	0	0	0	0.105221	0	0	0	0	0	0	0	0	0	0	0.11905	0	0.192827	0	0	0	0	0	0	0	0	0.120049	0.0185611	0.10423	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1059	0	0	0	0.308107	0	0	0	0	0.246038	0	0	0	0	0	0	0.131866	0	0	0	0.0541686	0	0	0.099752	0	0.0541686	0	0	0	0	0	0
