IMPID	EXPID	0	1	2	
1	2	1	5.03975e-15	0	
1	3	3.81832e-22	1	0	
1	4	3.26625e-900	1	0	
1	5	9.69324e-1167	1	0	
1	6	0	4.67248e-328	1	
1	7	0	3.34369e-338	1	
1	8	1	1.80841e-11	0	
1	9	1.53222e-1041	1	0	
1	10	1.83553e-78	1	0	
2	3	1	1.79788e-11	0	
2	4	0	6.1355e-323	1	
2	5	2.08559e-37	1	0	
2	6	1	9.50752e-16	0	
2	7	0	5.33984e-336	1	
2	8	9.09554e-48	1	0	
2	9	0	7.77393e-307	1	
2	10	1	1.10579e-09	0	
3	4	1	1.93432e-13	0	
3	5	1	6.66922e-15	0	
3	6	0	2.17443e-344	1	
3	7	1	1.58298e-11	0	
3	8	1.16019e-28	1	0	
3	9	1	1.16895e-10	0	
3	10	1	1.25478e-12	0	
4	5	1	6.34995e-11	0	
4	6	1.3223e-54	1	0	
4	7	3.283e-1511	1	0	
4	8	9.39253e-22	1	0	
4	9	0	3.68964e-329	1	
4	10	1	6.53235e-11	0	
5	6	2.01027e-28	1	0	
5	7	1	1.34628e-12	0	
5	8	1	6.25348e-14	0	
5	9	0	3.48254e-339	1	
5	10	0	1	0	
6	7	1.54839e-34	1	0	
6	8	1	7.36181e-13	0	
6	9	1.28794e-21	1	0	
6	10	0	9.86298e-323	1	
7	8	0	1.05856e-322	1	
7	9	1.534e-952	1	0	
7	10	5.10223e-470	1	0	
8	9	1	4.14478e-11	0	
8	10	1.74547e-914	1	0	
9	10	1	4.97369e-14	0	
