IMPID	EXPID	0	1	2	
1	2	1	1.13969e-09	0	
1	3	2.27319e-34	1	0	
1	4	1	2.03447e-13	0	
1	5	3.71147e-934	1	0	
1	6	5.37826e-38	1	0	
1	7	1	1.09797e-13	0	
1	8	6.48383e-30	1	0	
1	9	0	1	0	
1	10	9.86926e-2520	1	0	
2	3	1	1.90031e-08	0	
2	4	7.82753e-34	1	0	
2	5	1	3.48235e-14	0	
2	6	1	1.07969e-15	0	
2	7	1	3.28616e-07	0	
2	8	2.84868e-33	1	0	
2	9	0	2.20572e-329	1	
2	10	1	9.55911e-17	0	
3	4	1	4.33771e-10	0	
3	5	2.52856e-1001	1	0	
3	6	3.7682e-866	1	0	
3	7	3.73936e-1540	1	0	
3	8	1	3.71933e-10	0	
3	9	0	3.456e-335	1	
3	10	0	1.86682e-327	1	
4	5	1	1.31191e-11	0	
4	6	1.20999e-45	1	0	
4	7	1	4.43997e-14	0	
4	8	1	1.62067e-13	0	
4	9	0	1.6088e-329	1	
4	10	5.34806e-70	1	0	
5	6	0	1	0	
5	7	2.96293e-40	1	0	
5	8	1	1.29939e-10	0	
5	9	1	6.4244e-13	0	
5	10	1	1.01862e-13	0	
6	7	1.91576e-53	1	0	
6	8	1	1.93894e-14	0	
6	9	0	1.56284e-318	1	
6	10	1.5728e-1519	1	0	
7	8	0	1	0	
7	9	1	6.76695e-10	0	
7	10	1.18358e-1860	1	0	
8	9	8.0598e-35	1	0	
8	10	2.87582e-1310	1	0	
9	10	1	2.30118e-14	0	
