imp	exp	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"	"SITC0_1"	"SITC0_2"	"SITC0_3"	"SITC0_4"	"SITC0_5"	"SITC0_6"	"SITC0_7"	"SITC0_8"	"SITC0_9"	"SITC0_10"	"SITC0_11"	"SITC0_12"	"SITC0_13"	"SITC0_14"	"SITC0_15"	"SITC0_16"	"SITC0_17"	"SITC0_18"	"SITC0_19"	"SITC0_20"	"SITC0_21"	"SITC0_22"	"SITC0_23"	"SITC0_24"	"SITC0_25"	"SITC0_26"	"SITC0_27"	"SITC0_28"	"SITC0_29"	"SITC0_30"	"SITC0_31"	"SITC0_32"	"SITC0_33"	"SITC0_34"	"SITC0_35"	"SITC0_36"	"SITC0_37"	"SITC0_38"	"SITC0_39"	"SITC0_40"
1	3	0	0.126121	0	0.126468	0	0.102161	0	0	0	0	0	0	0	0.0594575	0	0.0758156	0.124014	0	0.00541904	0	0	0	0	0.0807701	0	0	0	0	0.0844215	0	0	0	0.054652	0.122766	0	0	0.00367715	0	0.0342582	0	0	0.0980391	0	0.09834	0	0.0794184	0	0.010629	0	0	0	0.0711823	0	0.046228	0.0561566	0	0	0	0	0	0	0.0953636	0	0	0.0392093	0.0354658	0	0.0650782	0.0656195	0	0	0.0665165	0.0425132	0	0	0.0947135	0	0.0355271	0	0
1	5	0.0560454	0.0996149	0.0952786	0.0999284	0.0318008	0	0	0.0107663	0	0.053672	0.0608778	0	0	0.0469587	0	0.0598693	0	0	0	0	0.00176696	0	0.0785937	0.0637924	0.0398459	0.0360497	0.0345666	0	0	0	0.091568	0	0	0	0	0	0.00290392	0.0361008	0	0	0	0.0837304	0.08008	0	0.0267163	0.0678115	0	0.00909229	0.00771987	0	0.0511713	0.0608284	0	0.0394722	0.0479675	0	0.0823331	0.0153673	0	0	0.00148158	0	0	0	0	0.0302733	0.029058	0.0555705	0.0560441	0	0.0769599	0.0568188	0	0.0814972	0.0400065	0	0	0	0	0
8	1	0	0.113015	0.10806	0.113375	0	0.0915385	0	0.0122384	0	0	0	0	0	0	0	0	0	0	0.00482523	0	0	0.109951	0.0891746	0	0.0452207	0.0408985	0	0.0749874	0	0	0.103871	0	0	0	0	0	0	0	0	0.0928446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118337	0	0	0	0	0	0	0	0	0	0	0	0.0908634	0	0	0.168112	0.260106	0	0	0	0	0.119995	0.242586	0	0	0	0
9	1	0	0.134068	0	0	0	0	0	0	0	0	0.0819264	0	0	0.0632275	0	0	0	0.0245926	0	0	0	0.130455	0	0	0.0536381	0	0	0	0	0	0.123216	0.0909532	0.0581295	0	0	0.129578	0	0	0	0.110216	0	0	0.13299	0	0.0443312	0.112553	0.0280003	0	0.01282	0	0	0.100985	0	0	0	0	0	0.0254584	0.00597665	0	0	0.135205	0	0	0	0	0	0	0	0	0	0.0943158	0	0.135305	0	0.134315	0	0	0.0377456	0
1	10	0	0	0	0.135165	0	0.109189	0	0	0	0	0.0823648	0.0978956	0.0359741	0.0635337	0	0	0.132574	0	0	0	0.00238859	0	0	0	0	0	0	0	0	0	0	0	0.0584327	0.131159	0	0	0.00392284	0	0.0366292	0.11077	0	0	0.119658	0	0.0398854	0	0.0251542	0	0	0.0673702	0.0764312	0	0	0.058997	0	0	0.122996	0	0	0	0	0	0	0	0.0500886	0	0	0.0830115	0	0.129619	0	0	0	0.121697	0.0597829	0	0	0.0453091	0	0
2	8	0	0	0	0	0.0493642	0	0.0311524	0	0	0	0.0946315	0.11251	0.0413231	0.0730294	0	0.0931078	0	0	0	0	0	0	0	0.099177	0	0	0.0537469	0	0	0	0	0	0	0.150689	0.073991	0	0	0	0	0.127278	0.0924764	0.164434	0	0	0	0	0	0	0	0.0886115	0	0.119462	0	0.0776099	0	0	0	0.0301549	0	0	0	0	0	0	0	0	0	0.109115	0	0	0	0.111619	0.0713611	0	0	0	0	0	0	0.135157
4	3	0	0	0	0	0	0.129493	0.0322167	0.0173562	0	0	0.0976683	0	0.04266	0.0753754	0	0	0.157222	0	0	0	0	0	0	0	0.0639171	0	0	0	0	0	0	0	0.0693352	0.155586	0	0.154483	0.00468756	0	0	0	0	0	0.122542	0	0.0408445	0	0	0	0	0	0	0.0930517	0	0.0603857	0.0733481	0	0	0	0	0	0.00227021	0	0	0.0820377	0.0512214	0.0463554	0	0	0.0857453	0	0.117715	0	0	0.124665	0.0612315	0	0.00374791	0	0.0348382	0
5	3	0	0	0	0.161404	0.0513417	0	0	0	0	0.0867186	0.0983327	0	0	0	0	0	0.158223	0	0	0	0	0	0	0	0.0643357	0	0.0558356	0	0	0	0.14788	0	0	0	0	0	0	0	0.0437368	0.132192	0.063068	0.112172	0	0	0.0357779	0	0.0225746	0	0	0	0	0.0814966	0	0	0.0642552	0	0.110329	0	0	0	0.00200759	0	0	0	0.0448788	0.0405833	0	0	0	0.116282	0.103094	0	0	0.109233	0.0536144	0	0	0.0406338	0	0
6	3	0	0.114423	0	0.114836	0	0.0926967	0	0	0	0.061681	0	0.0831509	0.0305626	0.0539588	0	0.0687701	0	0	0.00488683	0	0	0	0	0	0	0	0	0	0.0766143	0.118597	0	0	0	0	0.0546888	0	0	0	0.0310809	0.0940528	0	0.135701	0	0	0	0	0	0.0147425	0	0	0	0.098614	0.0362432	0.064017	0	0	0	0	0	0	0.00240899	0	0	0	0.0542897	0	0	0.0901458	0	0.140711	0	0	0.0588598	0.13215	0	0.131212	0.00402989	0	0.0368755	0
3	7	0	0	0.084748	0.0888463	0	0.071755	0	0	0	0.0477205	0	0.0643404	0	0.0417856	0	0.0532444	0.0871215	0.0162584	0.00379125	0	0	0	0	0	0.0354392	0	0	0.0587695	0.059301	0	0	0	0	0.0862021	0.0423184	0.0856041	0	0	0	0.0727545	0.115443	0.205205	0	0	0	0	0	0	0	0.110563	0	0.149069	0	0	0.11756	0	0	0	0.00879196	0	0	0	0.161934	0.131434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
